route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::545d213e-22d3-4b62-9839-0693db5cfdb7:,1187,K16+,Tours-Blois-Orléans rapides,,2,,,
FR:Line::546D29B5-FB72-4019-AF68-E23251A25790:,1187,T34,Sarreguemines - Sarrebruck,,0,,,
FR:Line::560BC1BD-AE16-4EAE-B2A2-F57BCD2E271B:,1187,P26,Nevers - Decize,,2,,,
FR:Line::5728B123-A2A2-4344-9BA6-F78FFC42AE57:,1187,C50,Metz - Luxembourg,,2,,,
FR:Line::572D299E-EA38-4280-BD5A-5F460D33004C:,1187,P26,26. Limoges-Ussel,,2,,,
FR:Line::576E2F4E-738A-4830-A235-A3BAAA706745:,1187,C11,Nantes - St-Gilles-Croix-De-Vie,,2,,,
FR:Line::576ebcaf-ad0f-4599-ae3b-c9b9e15312e0:,1187,E08,RE Modane / Grenoble,,3,,,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,1187,C2,PARIS - EVREUX - SERQUIGNY,,2,,,
FR:Line::58E7EAEC-D896-481E-8E78-6CD689E7B142:,1187,P1,Morlaix - Brest,,2,,,
FR:Line::58F8B7CA-CAB5-4D3F-B85B-95DCB0294FEC:,1187,P27,Clermont-Ferrand - Aurillac - Toulouse,,2,,,
FR:Line::58FC3A74-C0EE-43AD-98F7-313645A935BF:,1187,P7,Dijon - Bourg En Bresse,,2,,,
FR:Line::596F07F3-98CE-401C-B7B8-7F9D83F663CD:,1187,P51,Metz - Thionville - Perl,,2,,,
FR:Line::5A647A17-C2F1-438A-9142-CF3C9A2711B8:,OCEdefault,P921,St Dizier - Vitry Le François,,3,,,
